Number of rooms, Square footage, Price, Year built, Type, Address, City
3,61,284500,1983,Appartement,Nes 96,Pijnacker
4,104,375000,1983,Woonhuis,Roggeakker 23,Pijnacker
4,277,1075000,2006,Woonhuis,Katwijkerlaan 119,Pijnacker
5,101,450000,2002,Woonhuis,Rodenrijseweg 547,Berkel en Rodenrijs
6,140,600000,2002,Woonhuis,Gouden Harplaan 27,Berkel en Rodenrijs
5,104,350000,2002,Woonhuis,Wilhelminastraat 98,Berkel en Rodenrijs
6,128,575000,2002,Woonhuis,Stationssingel 6,Berkel en Rodenrijs
5,128,600000,1980,Woonhuis,Rozendaallaan 7,Berkel en Rodenrijs
6,140,700000,1980,Woonhuis,Cissy van Marxveldtplantsoen 9,Berkel en Rodenrijs
5,97,525000,1980,Woonhuis,Rodenrijseweg 549,Berkel en Rodenrijs
5,152,500000,1980,Woonhuis,Lingestraat 61,Berkel en Rodenrijs
5,116,375000,2005,Woonhuis,Anthuriumsingel 29,Berkel en Rodenrijs
6,127,500000,2005,Woonhuis,Gouwestraat 40,Berkel en Rodenrijs
3,82,365000,1963,Appartement,Soesterberghof 170,Nootdorp
4,117,375000,1963,Woonhuis,Dr. Peter van Anrooijstraat 21,Nootdorp
5,110,425000,1960,Woonhuis,Lauwersmeer 11,Zoetermeer
4,124,400000,1960,Woonhuis,Schansbaan 303,Zoetermeer
6,139,300000,1960,Woonhuis,Fivelingo 42,Zoetermeer
4,84,230000,1960,Appartement,Zalkerbos 189,Zoetermeer
4,113,325000,1960,Appartement,Lissenvaart 87,Zoetermeer
3,100,349500,1960,Woonhuis,Willem Paaphove 17,Zoetermeer
5,112,309500,1986,Woonhuis,Slootdreef 13,Zoetermeer
7,163,725000,1986,Woonhuis,Groeneweg 1,Zoetermeer
5,115,290000,1986,Appartement,Parkdreef 163,Zoetermeer
2,68,225000,1986,Appartement,Gaardedreef 53,Zoetermeer
2,64,195000,1986,Appartement,Willemstraat 176,Zoetermeer
5,131,435000,1986,Woonhuis,Javalaan 450,Zoetermeer
8,228,695000,1986,Woonhuis,Blauw-roodlaan 98 98A,Zoetermeer
3,53,245000,1986,Appartement,Pierre Kemphove 27,Zoetermeer
3,81,275000,1986,Woonhuis,Kievitveld 4,Zoetermeer
6,120,349500,1959,Appartement,Parkdreef 69,Zoetermeer
3,85,325000,1997,Appartement,Hoflandendreef 48,Delft
5,104,0,1975,Woonhuis,Zaïrestraat 7,Delft
4,129,349500,1975,Appartement,Adama van Scheltemaplein 103,Delft
4,95,325000,1975,Woonhuis,P.C. Boutenspad 11,Delft
2,63,250000,1975,Appartement,Van Bossestraat 31,Delft
